,Адрес,Цена,Тип предложения,Площадь участка,Коммуникации,Правоустанавливающие документы,Возможность ипотеки,Возможность обмена,Широта,Долгота,Местоположение,Разное,Возможность рассрочки,Состояние,Кол-во этажей,Интернет,Канализация,Питьевая вода,Электричество,Газ,Мебель,Телефон,Санузел,Пол
493,"Бишкек, Ден Сяопина - Фучика, пр Ден-Сяопина 111/Ден-Сяопина Казакова",$ 185 000,от собственника,12 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация",красная книга,,,42.8769,74.5507,вдоль трассы,"сад,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
494,"Бишкек, Мед. академия, Байтик Баатыра/Ахунбаева",$ 370 000,от собственника,3.9 соток,,,,,42.8459,74.6091,,,,,,,,,,,,,,
495,"Беловодское, Фрунзе 100",$ 130 000,от собственника,12 соток,,красная книга,есть,,42.8349,74.105,вдоль трассы,"госакт,                                             удобно под коммерцию,                                             все документы",,,,,,,,,,,,
496,"Бишкек, Советская - Скрябина, Байтик Баатыра 33",$ 570 000,от собственника,6 соток,"свет,                                             газ,                                             вода,                                             канализация",,нет,обмен не предлагать,42.8541,74.6103,в городе,,нет,,,,,,,,,,,
497,с. Отуз-Адыр,$ 28 814,от собственника,7 соток,"свет,                                             вода",красная книга,,,40.593,72.9727,,фундамент,,,,,,,,,,,,
498,с. Григорьевская пристань,$ 4 700,от агента,5 соток,,,,,42.6592,77.4604,,,,,,,,,,,,,,
499,с. Булан-Соготту,$ 190 000,от агента,190 соток,,,,,42.6785,77.3161,,,,,,,,,,,,,,
500,с. Бостери,$ 165 000,от агента,55 соток,,"договор купли-продажи,                                             красная книга",,,42.6455,77.1615,,,,,,,,,,,,,,
501,"Лебединовка, Чапаева",$ 87 000,от собственника,8 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.8814,74.6755,,"хозпостройки,                                             огорожен,                                             дом,                                             все документы",,,,,,,,,,,,
502,с. Орукту-Хутор,$ 15 000,от собственника,12 соток,свет,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7445,77.8209,в городе,все документы,,,,,,,,,,,,
503,с. Кок-Джар,$ 95 000,от собственника,8 соток,"свет,                                             газ,                                             вода",красная книга,,,42.7924,74.6598,,"огорожен,                                             ровный",,,,,,,,,,,,
504,"с. Пригородное, Эркиндик 112",$ 30 000,от собственника,5 соток,"газ,                                             свет,                                             вода,                                             канализация",красная книга,,рассмотрю варианты,42.9004,74.5401,в пригороде,,,,,,,,,,,,,
505,"Бишкек, БГУ, юдахина 87/айни",$ 59 000,от собственника,3 соток,,красная книга,,,42.8497,74.5785,в городе,,,,,,,,,,,,,
506,"Бишкек, Душанбинка, Табалдиева 76",$ 350 000,от собственника,4.88 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8504,74.5907,в городе,,,,,,,,,,,,,
507,"Бишкек, Магистраль, Мамеева",$ 750 000,от агента,15 соток,"свет,                                             газ,                                             вода,                                             канализация",,,рассмотрю варианты,42.8226,74.5819,в городе,"удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
508,с. Таш-Добо,$ 30 000,от собственника,102 соток,"канализация,                                             вода","зеленая книга,                                             договор купли-продажи",,рассмотрю варианты,42.7283,74.56,,,,,,,,,,,,,,
509,с. Таш-Добо,$ 45 000,от собственника,7 соток,"свет,                                             вода,                                             интернет","договор купли-продажи,                                             договор дарения,                                             красная книга",,рассмотрю варианты,42.7162,74.5561,,"удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
510,"Бишкек, Ынтымак ж/м",$ 600 000,от собственника,19 соток,"свет,                                             газ,                                             канализация,                                             вода",красная книга,,,42.8153,74.5758,,"госакт,                                             ровный,                                             все документы",,,,,,,,,,,,
511,"с. Новопавловка, Крупская 24/Крупская/Кирова",$ 21 000,от собственника,3500 соток,"свет,                                             газ,                                             вода",красная книга,нет,обмен не предлагать,42.878,74.4908,,"сад,                                             огорожен,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
512,"Бишкек, Т. Усубалиева 116а",$ 29 000,от собственника,3.01 соток,,красная книга,,,42.8234,74.4978,в городе,,,,,,,,,,,,,
513,"Бишкек, Аламединский рынок, переулок Пишпекский 8/Куликовский",$ 55 000,от собственника,3 соток,"свет,                                             газ,                                             вода","технический паспорт,                                             договор дарения",,обмен не предлагать,42.8909,74.6404,в городе,удобно под коммерцию,,,,,,,,,,,,
514,"Бишкек, Тунгуч м-н, Горького",$ 180 000,от агента,15 соток,"свет,                                             газ,                                             вода,                                             канализация",красная книга,есть,,42.8537,74.6856,в городе,"хозпостройки,                                             огорожен,                                             дом,                                             времянка,                                             все документы",,,,,,,,,,,,
515,"Бишкек, Баха, Садырбаева/Магистраль",$ 300 000,от агента,13 соток,"свет,                                             вода,                                             канализация","технический паспорт,                                             красная книга,                                             свидетельство о праве на наследство",есть,,42.832,74.5627,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
516,"с. Байтик, А. Укуева 27",$ 155 000,от собственника,10 соток,"свет,                                             интернет,                                             вода,                                             канализация","технический паспорт,                                             красная книга",,рассмотрю варианты,42.747,74.5547,в пригороде,"фундамент,                                             хозпостройки,                                             огорожен,                                             госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
517,"с. Бактуу-Долоноту, Береке 2",$ 8 000,от собственника,4 соток,"свет,                                             интернет,                                             вода",красная книга,,,42.6471,77.1393,,удобно под коммерцию,,,,,,,,,,,,
518,"Бишкек, Гагарина, Гагарина/Репина",$ 87 500,от собственника,3.1 соток,"свет,                                             газ,                                             вода,                                             канализация",договор купли-продажи,нет,,42.8521,74.5495,,все документы,нет,,,,,,,,,,,
519,"Бишкек, Ден Сяопина - Фучика",$ 155 000,от агента,6 соток,"газ,                                             вода,                                             канализация",красная книга,нет,,42.8761,74.5401,,все документы,нет,,,,,,,,,,,
520,"Бишкек, Ден Сяопина - Фучика, Дэн-Сяопина 129/1/Каракумская",$ 85 000,от собственника,6.11 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.8768,74.5484,вдоль трассы,"огорожен,                                             удобно под коммерцию",,,,,,,,,,,,
521,Чолпон-Ата,$ 55 000,от собственника,10 соток,,красная книга,,рассмотрю варианты,42.6393,77.0428,вдоль трассы,,,,,,,,,,,,,
522,"Бишкек, Ынтымак ж/м",$ 320 000,от собственника,16 соток,"свет,                                             газ,                                             вода,                                             канализация",,есть,,42.8088,74.5652,,"огорожен,                                             госакт,                                             времянка,                                             удобный въезд,                                             все документы,                                             ровный",,,,,,,,,,,,
523,"Чолпон-Ата, Бакай-Ата/Моит Аке",$ 12 000,от собственника,6 соток,"свет,                                             вода",,,обмен на авто,42.6529,77.1118,,"фундамент,                                             госакт,                                             все документы",,,,,,,,,,,,
524,"Бишкек, Ынтымак ж/м",$ 178 000,от собственника,9 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация",,,,42.8134,74.5719,,"хозпостройки,                                             огорожен,                                             госакт,                                             дом,                                             все документы,                                             ровный,                                             удобный въезд",,,,,,,,,,,,
525,Бишкек,$ 18 000,от собственника,4 соток,вода,красная книга,,обмен не предлагать,42.8348,74.4692,в городе,"удобный въезд,                                             все документы",,,,,,,,,,,,
526,Бишкек,$ 21 000,от собственника,4.5 соток,,"акт ввода в эксплуатацию,                                             красная книга",,обмен на авто,42.8268,74.4802,в городе,,,,,,,,,,,,,
527,Бишкек,$ 20 500,от собственника,4 соток,"свет,                                             вода",,,обмен не предлагать,42.8443,74.474,в городе,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
528,"Бишкек, Матросова, Медерова/Жукеева пудовкина",$ 238 000,от агента,5 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",,,42.8522,74.6173,,"ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
529,"с. Люксембург, Строительная 10/1",$ 13 500,от агента,5 соток,,"красная книга,                                             договор купли-продажи",,,42.8829,74.8211,,,,,,,,,,,,,,
530,Лебединовка,$ 85 000,от агента,7 соток,,,,,42.8831,74.6915,,,,,,,,,,,,,,
531,"Бишкек, Арча-Бешик ж/м",$ 195 000,от агента,11 соток,,,,,42.8303,74.5433,,,,,,,,,,,,,,
532,"Бишкек, 69-га",$ 37 000,от агента,5 соток,,,,,42.813,74.5419,,,,,,,,,,,,,,
533,"с. Кок-Джар, Куюкова 5а/7 апрель",$ 170 000,от агента,13 соток,"газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             красная книга",есть,,42.8298,74.643,в пригороде,госакт,,,,,,,,,,,,
534,с. Тосор,$ 52 500,от агента,50 соток,,,есть,рассмотрю варианты,42.1538,77.4834,,удобно под коммерцию,есть,,,,,,,,,,,
535,"Бишкек, Гагарина",$ 230 000,от агента,7 соток,,,,,42.8509,74.5659,,,,,,,,,,,,,,
536,"Бишкек, Кайынды ж/м",$ 38 000,от агента,4 соток,"свет,                                             газ,                                             вода,                                             канализация",,,,42.9172,74.6221,,"сад,                                             огорожен,                                             дом",,,,,,,,,,,,
537,"Каракол, Кыдыр Аке",$ 220 000,от агента,14 соток,,,,,42.5039,78.3866,,,,,,,,,,,,,,
538,"Бишкек, Киргизия 1 ж/м, гаражная 11",$ 120 000,от агента,5 соток,,,,,42.8128,74.5823,,,,,,,,,,,,,,
539,с. Кунтуу,$ 140 000,от собственника,80 соток,свет,,,,42.783,74.4758,,,,,,,,,,,,,,
540,с. Манас,$ 200 000,от агента,120 соток,"свет,                                             вода","договор купли-продажи,                                             красная книга",нет,рассмотрю варианты,42.9882,74.4502,в пригороде,"дом,                                             все документы",нет,,,,,,,,,,,
541,с. Буденовка,$ 80 000,от собственника,40 соток,,,,рассмотрю варианты,42.8955,74.9277,вдоль трассы,"хозпостройки,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
542,с. Интернациональное,$ 250 000,от собственника,6 соток,"свет,                                             вода","технический паспорт,                                             красная книга",,рассмотрю варианты,42.7521,74.9468,в предгорьях,,,,,,,,,,,,,
543,"Бишкек, Ак-Ордо ж/м, Кызыл Жылдыз 93",$ 28 500,от собственника,5 соток,"свет,                                             вода","договор дарения,                                             красная книга",нет,обмен не предлагать,42.8359,74.4889,в городе,"госакт,                                             ровный,                                             все документы",нет,,,,,,,,,,,
544,"Бишкек, Учкун м-н",$ 42 000,от агента,4 соток,,"договор купли-продажи,                                             красная книга",,,42.8702,74.6927,,,,,,,,,,,,,,
545,"Бишкек, Советская - Скрябина/Медерова Элебаева",$ 185 000,от собственника,5.2 соток,,,,,42.8535,74.6147,в городе,,,,,,,,,,,,,
546,с. Арашан,$ 31 200,от собственника,4.8 соток,"свет,                                             интернет,                                             вода","договор купли-продажи,                                             красная книга,                                             технический паспорт",,обмен не предлагать,42.7394,74.6479,в дачном массиве,госакт,,,,,,,,,,,,
547,"Лебединовка, Проспект Ленина 87/Чкалова",$ 220 000,от собственника,10.2 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             телефон,                                             канализация","технический паспорт,                                             красная книга",нет,рассмотрю варианты,42.8826,74.6718,вдоль трассы,"хозпостройки,                                             огорожен,                                             дом,                                             ровный,                                             все документы",нет,,,,,,,,,,,
548,с. Таш-Мойнок,$ 2 000,от собственника,48 соток,,"договор купли-продажи,                                             зеленая книга",,рассмотрю варианты,42.7428,74.6756,в предгорьях,,,,,,,,,,,,,
549,"Бишкек, АУЦА",$ 79 000,от собственника,5.5 соток,,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8058,74.6288,в городе,"госакт,                                             все документы",,,,,,,,,,,,
550,Каинды,$ 70 000,от собственника,1 соток,,,,,42.8075,73.6797,вдоль трассы,удобно под коммерцию,,,,,,,,,,,,
551,Бишкек,$ 80 000,от собственника,4 соток,"свет,                                             газ,                                             интернет,                                             телефон",договор купли-продажи,,,42.8958,74.6064,,,,,,,,,,,,,,
552,"Бишкек, Арча-Бешик ж/м, Он арча 79/Иманкулова",$ 125 000,от собственника,6 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация",красная книга,,,42.8236,74.5675,,сад,,,,,,,,,,,,
553,"с. Восток,  ул. Озерная 16",$ 25 000,от собственника,5 соток,"газ,                                             свет,                                             вода","договор купли-продажи,                                             красная книга",,,42.9031,74.6727,,,,,,,,,,,,,,
554,"с. Беш-Кунгей,  ул. Тарынчиева",$ 60 000,от собственника,8.4 соток,"вода,                                             свет",,нет,,42.7672,74.6456,,,нет,,,,,,,,,,,
555,"Бишкек, Ак-Орго ж/м, ак чолмок",$ 56 000,от собственника,5 соток,,,,,42.8557,74.5283,,,,,,,,,,,,,,
556,"Бишкек, БГУ",$ 59 000,от агента,3 соток,,красная книга,,,42.8485,74.5789,,,,,,,,,,,,,,
557,"Бишкек, Ак-Ордо 1 линия",$ 28 000,от собственника,6 соток,"свет,                                             вода","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.83,74.4877,вдоль трассы,"фундамент,                                             госакт,                                             времянка,                                             ровный,                                             все документы",,,,,,,,,,,,
558,"с. Полтавка, Коминтерна 37/Горький",$ 14 983,от собственника,20 соток,,красная книга,,,42.8482,73.9614,вдоль трассы,,,,,,,,,,,,,
559,с. Сары-Ой,$ 6 000,от собственника,4 соток,,,,рассмотрю варианты,42.606,76.9443,,,,,,,,,,,,,,
560,с. Байтик,$ 240 000,от агента,14 соток,,,,,42.7364,74.5428,,,,,,,,,,,,,,
561,"Бишкек, Ынтымак ж/м",$ 178 000,от агента,8 соток,,,,,42.8154,74.5723,,,,,,,,,,,,,,
562,"Бишкек, Ак-Орго ж/м",$ 8 000,от агента,300 соток,,,,,42.8269,74.5117,,,,,,,,,,,,,,
563,"Бишкек, Старый толчок, Чагая/Кыргызская",$ 35 000,от собственника,5 соток,"свет,                                             газ,                                             вода","договор купли-продажи,                                             красная книга",есть,,42.9159,74.5978,в городе,"огорожен,                                             госакт,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
564,с. Булан-Соготту,$ 20 000,от собственника,14 соток,"свет,                                             вода",красная книга,,рассмотрю варианты,42.6799,77.3024,,фундамент,,,,,,,,,,,,
565,"Бишкек, Кок-Жар ж/м, Арпачиева",$ 130 000,от собственника,10 соток,,красная книга,,рассмотрю варианты,42.8434,74.6432,,все документы,,,,,,,,,,,,
566,"с. Селекционное, Нур-Эл 40",$ 38 000,от собственника,3.5 соток,,,,обмен не предлагать,42.8342,74.5327,,,,,,,,,,,,,,
567,"с. Корумду (Иссык-Кульский р-н), Осмон Агай 30",$ 75 000,от собственника,28 соток,"свет,                                             вода,                                             канализация","красная книга,                                             договор купли-продажи",,,42.6886,77.3456,вдоль трассы,"удобно под коммерцию,                                             времянка,                                             ровный,                                             все документы,                                             удобный въезд,                                             огорожен,                                             госакт,                                             дом,                                             хозпостройки",,,,,,,,,,,,
568,"Каракол, Московская/Токтогула",$ 100 000,от собственника,6 соток,"свет,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,нет,обмен не предлагать,42.4944,78.3997,,"огорожен,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
569,"Бишкек, Учкун ж/м, 9 улица 13",$ 45 000,от собственника,4 соток,"свет,                                             газ,                                             вода","договор купли-продажи,                                             технический паспорт",,,42.8697,74.7082,,все документы,,под самоотделку (псо),,,,,,,,,,
570,"с. Заречное, Ала-арчинская 2/1",$ 29 000,от собственника,3 соток,,красная книга,,рассмотрю варианты,42.7579,74.5733,,,,,,,,,,,,,,
571,"Бишкек, Матросова, Тобольский/Ахунбаева",$ 200 000,от собственника,4.5 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8417,74.6195,в городе,"огорожен,                                             дом,                                             ровный,                                             все документы",нет,,,,,,,,,,,
572,"Бишкек, Гоин, Жибек-Жолу/Шопокова",$ 250 000,от собственника,6 соток,"свет,                                             газ,                                             вода,                                             канализация",,есть,обмен не предлагать,42.8854,74.6149,,"огорожен,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
573,с. Бактуу-Долоноту,$ 240 000,от агента,48 соток,"свет,                                             вода",,есть,рассмотрю варианты,42.6503,77.1316,в городе,"госакт,                                             удобно под коммерцию,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
574,с. Ананьево,$ 2 300 000,от агента,1000 соток,"свет,                                             вода,                                             канализация",,,,42.7147,77.6913,,"фундамент,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,,,,,,,,,
575,"Бишкек, Молодая Гвардия",$ 1 700 000,от агента,120 соток,,"красная книга,                                             технический паспорт",,,42.8665,74.5764,в городе,,,,,,,,,,,,,
576,"с. Озёрное, село Озерное 43",$ 16 000,от собственника,4 соток,,красная книга,,,42.942,74.4357,в дачном массиве,,,,,,,,,,,,,
577,"с. Таш-Добо, Школьная",$ 27 000,от собственника,6.6 соток,,"договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.7308,74.5774,в предгорьях,,,,,,,,,,,,,
578,с. Люксембург,$ 130 000,от собственника,200 соток,,,,,42.8902,74.8206,вдоль трассы,,,,,,,,,,,,,
579,"с. Беш-Кунгей, конец с. Беш Күнгөй",$ 150 000,от собственника,1300 соток,,,,,42.7546,74.6563,вдоль трассы,,,,,,,,,,,,,
580,"Бишкек, Аламединский рынок,  ул. Кантемировский/м. Жалила",$ 83 500,от агента,7 соток,"газ,                                             отопление,                                             вода,                                             канализация,                                             свет","договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8864,74.6479,в городе,огорожен,,,,,,,,,,,,
581,"Бишкек, Кара-Жыгач ж/м",$ 85 000,от агента,6 соток,"свет,                                             газ,                                             вода,                                             канализация","договор купли-продажи,                                             акт ввода в эксплуатацию,                                             технический паспорт,                                             красная книга",,,42.8661,74.6573,в городе,"огорожен,                                             хозпостройки,                                             госакт,                                             удобно под коммерцию,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
582,"Бишкек, Эргеш Ата",$ 25 000,от собственника,4 соток,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,42.8421,74.4628,,,,,,,,,,,,,,
583,с. Аламудун,$ 48 000,от собственника,15 соток,"свет,                                             газ,                                             отопление,                                             вода",красная книга,,рассмотрю варианты,42.8995,74.6417,,"сад,                                             хозпостройки,                                             огорожен,                                             дом,                                             времянка",,,,,,,,,,,,
584,"Бишкек, Тоголок-Молдо/Ленинградская",$ 320 000,от собственника,9 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",,,,42.893,74.5974,,,,,,,,,,,,,,
585,"с. им. С. Чокморова, Сопубек",$ 69 000,от собственника,15 соток,"вода,                                             канализация,                                             свет",,есть,,42.7523,74.6012,,,,,,,,,,,,,,
586,"Бишкек, Киргизия-2 м-н",$ 120 000,от собственника,4.3 соток,,"договор купли-продажи,                                             технический паспорт",,,42.8139,74.5821,,,,,,,,,,,,,,
587,"Лебединовка, жибек жолу",$ 230 000,от собственника,13 соток,,,,,42.8848,74.685,,,,,,,,,,,,,,
588,"с. Новопокровка, Достук 12",$ 35 000,от собственника,8 соток,,,,,42.8752,74.7275,,,,,,,,,,,,,,
589,"с. Бактуу-Долоноту, Жадоева",$ 25 000,от собственника,8 соток,"свет,                                             газ,                                             вода,                                             телефон,                                             канализация",красная книга,,обмен не предлагать,42.6534,77.127,,"фундамент,                                             все документы",есть,,,,,,,,,,,
590,с. Селекционное,$ 23 500,от собственника,4.5 соток,,красная книга,есть,рассмотрю варианты,42.8261,74.4803,,,,,,,,,,,,,,
591,с. Бостери,$ 160 000,от собственника,100 соток,,,,рассмотрю варианты,42.6552,77.2387,,,,,,,,,,,,,,
592,"Бишкек, Киргизия 1 ж/м",$ 145 000,от агента,4.5 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",нет,обмен не предлагать,42.8131,74.5822,,"сад,                                             хозпостройки,                                             дом,                                             времянка,                                             ровный,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
593,"с. Беш-Кунгей, Кочорбай Уулу Алакуш",$ 22 500,от собственника,4 соток,"вода,                                             свет","красная книга,                                             договор купли-продажи",,,42.7711,74.6528,в предгорьях,госакт,,,,,,,,,,,,
594,"с. Новопокровка, Мичурина",$ 13 500,от собственника,5 соток,,"технический паспорт,                                             договор купли-продажи",,,42.8758,74.7534,,,,,,,,,,,,,,
595,"Кара-Балта, Центральная",$ 103 000,от агента,23 соток,,,,,42.8214,73.8309,,,,,,,,,,,,,,
596,"с. Маевка,  ул Молодая Гвардия 83",$ 190 000,от собственника,18 соток,,красная книга,,рассмотрю варианты,42.9155,74.5731,вдоль трассы,,,,,,,,,,,,,
597,"Бишкек, Алматинка - Магистраль, кыял 16/магистраль / алматинка",$ 130 000,от собственника,14 соток,"свет,                                             газ,                                             интернет,                                             отопление,                                             вода,                                             телефон,                                             канализация",красная книга,,обмен не предлагать,42.8052,74.6454,,все документы,,,,,,,,,,,,
598,"Бишкек, Ак-Ордо ж/м, Чолпон 1",$ 40 000,от собственника,4 соток,"свет,                                             газ,                                             интернет,                                             вода,                                             канализация","договор купли-продажи,                                             технический паспорт,                                             красная книга",,рассмотрю варианты,42.851,74.5107,вдоль трассы,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",есть,,,,,,,,,,,
599,с. Чок-Тал,$ 113 000,от собственника,20 соток,"вода,                                             канализация,                                             интернет,                                             свет,                                             телефон",,,рассмотрю варианты,42.5888,76.7499,,"все документы,                                             удобный въезд,                                             удобно под коммерцию,                                             сад,                                             госакт,                                             ровный",,,,,,,,,,,,
600,"с. Кок-Джар, Алапаева 25/Достоевский",$ 110 000,от собственника,6 соток,"свет,                                             газ,                                             интернет,                                             вода","договор купли-продажи,                                             красная книга",,рассмотрю варианты,42.8225,74.6501,в городе,"госакт,                                             ровный,                                             удобный въезд,                                             все документы",,,,,,,,,,,,
601,"Кемин, Праволинейная 5",$ 6 915,от собственника,16 соток,свет,,,,42.7685,75.6799,,"фундамент,                                             госакт",,,,,,,,,,,,
602,"с. Байтик, село Байтик",$ 240 000,от собственника,14 соток,"свет,                                             вода,                                             канализация",красная книга,,,42.749,74.5579,,,,,,,,,,,,,,
603,"Бишкек, Ынтымак ж/м",$ 178 000,от агента,8 соток,,красная книга,,рассмотрю варианты,42.8145,74.5741,в городе,,,,,,,,,,,,,
604,"с. Ананьево, Ленина/Советская",$ 2 100 000,от агента,1000 соток,вода,,есть,рассмотрю варианты,42.7124,77.6954,,"сад,                                             хозпостройки,                                             огорожен,                                             госакт,                                             удобно под коммерцию,                                             удобный въезд,                                             все документы",нет,,,,,,,,,,,
605,"с. Новопокровка, с.Лебединовка/Ауэзова/Салиева",$ 250 000,от собственника,11.4 соток,,,,рассмотрю варианты,42.8738,74.769,вдоль трассы,,,,,,,,,,,,,
606,"с. Садовое (Аламудунский р-н), Мыканская 78/1",$ 27 000,от собственника,9 соток,"свет,                                             газ,                                             вода",,,,42.9343,74.6681,вдоль трассы,,,,,,,,,,,,,
